Tytuł wpisu,Data wpisu,Dział,ID wpisu,Kategoria,Klaster tematyczny,Oddział,Ostatnia analiza,Parafraza,Sentyment,Status,Sugerowany proces,Słowa kluczowe,Treść
Wymiana sprzętu IT trwa miesiąc,"March 18, 2026 11:45 AM",IT,SUG-39,Problem,,Gliwice,"March 18, 2026 11:45 AM",Wymiana sprzętu IT trwa ponad miesiąc. Wpływ na produktywność.,Negatywny,Not started,Obsługa zgłoszeń IT → SLA wymiany sprzętu,,Zgłosiłem awarię laptopa miesiąc temu i dalej czekam. Pracuję na zapasowym który ledwo działa. Proces wymiany powinien być szybszy.
Klienci chcą śledzić zamówienia online,"March 18, 2026 11:45 AM",Handlowy,SUG-38,Pomysł,,Sosnowiec,"March 18, 2026 11:45 AM",Zapotrzebowanie klientów na śledzenie zamówień online. Brak funkcji vs konkurencja.,Pozytywny,Not started,Obsługa zamówień → panel klienta z trackingiem,,Coraz więcej klientów pyta o tracking zamówienia. Teraz muszą dzwonić. Konkurencja to już ma.
Problem z dostępem do systemu z dachów,"March 18, 2026 11:46 AM",Segment Dachy,SUG-45,Problem,,Katowice,"March 18, 2026 11:46 AM",Brak dostępu do systemu na budowach (słaby zasięg). Ręczne protokoły. Potrzeba trybu offline.,Negatywny,Not started,Obsługa protokolów budowlanych → aplikacja z trybem offline,,Na budowach nie mamy dostępu do systemu bo zasięg jest słaby. Protokoły musimy pisać ręcznie i dopiero w biurze wprowadzać do systemu. Tryb offline byłby rozwiązaniem.
Proces reklamacyjny jest za wolny,"March 18, 2026 11:46 AM",Handlowy,SUG-42,Problem,,Oświęcim,"March 18, 2026 11:46 AM",Proces reklamacyjny zbyt powolny i nieprzejrzysty. Brak śledzenia statusu reklamacji.,Negatywny,Not started,Proces reklamacyjny → system ticketowy z trackingiem,,"Reklamacja klienta krąży między działami tygodniami. Nikt nie wie kto aktualnie się nią zajmuje. Klient dzwoni co dwa dni i pyta o status, a my nie mamy co powiedzieć."
Excel jako baza klientów to porażka,"March 18, 2026 11:46 AM",Sprzedaż,SUG-48,Problem,,Gliwice,"March 18, 2026 11:46 AM",Współdzielony Excel jako CRM powoduje konflikty wersji i utratę danych.,Negatywny,Not started,Zarządzanie klientami → wdrożenie CRM,,"Nadal używamy Excela jako bazy klientów. Kilka osób edytuje ten sam plik, wersje się rozjeżdżają, dane się nadpisują. Potrzebujemy prawdziwego CRM."
Brak harmonogramu dostaw widocznego dla klientów,"March 18, 2026 11:46 AM",Handlowy,SUG-49,Usprawnienie,,Chrzanów,"March 18, 2026 11:46 AM",Brak widoczności harmonogramu dostaw dla klientów. Każde zapytanie wymaga ręcznej weryfikacji.,Neutralny,Not started,Harmonogram dostaw → panel klienta,,Klienci ciągle pytają kiedy dostaną towar. Nie mamy żadnego systemu który by im to pokazywał. Każde zapytanie to telefon do logistyki i ręczne sprawdzanie.
Można by zrobić newsletter wewnętrzny,"March 18, 2026 11:46 AM",Media,SUG-44,Pomysł,,Tarnowskie Góry,"March 18, 2026 11:46 AM",Propozycja miesięcznego newslettera wewnętrznego z informacjami z oddziałów.,Pozytywny,Not started,Komunikacja wewnętrzna → newsletter firmowy,,"Nie wiem co się dzieje w innych oddziałach. Fajnie byłoby dostać raz w miesiącu krótki newsletter co nowego, kto co osiągnął, jakie projekty się kończą. Budowałoby to poczucie wspólnoty."
Listy obecności nadal papierowe,"March 18, 2026 11:46 AM",HR,SUG-43,Usprawnienie,,Dąbrowa Górnicza,"March 18, 2026 11:46 AM",Papierowe listy obecności wymagają ręcznego przepisywania. Propozycja elektronicznej rejestracji.,Neutralny,Not started,Rejestracja czasu pracy → system elektroniczny,,W 2026 roku nadal podpisujemy listy obecności długopisem na kartce. Potem ktoś to przepisuje do systemu. Może czas na elektroniczny system rejestracji czasu pracy?
Super że mamy nowe wózki widłowe,"March 18, 2026 11:46 AM",Magazyn,SUG-41,Inne,,Chrzanów,"March 18, 2026 11:46 AM",Pozytywny feedback dot. nowych wózków widłowych. Poprawa warunków pracy na magazynie.,Pozytywny,Not started,n/d,,"Nowe wózki widłowe to naprawdę duża zmiana — cichsze, szybsze, lepiej się nimi manewruje. Chłopaki z magazynu są zadowoleni. Dobra decyzja!"
Brak szablonu oferty dla klientów,"March 18, 2026 11:46 AM",Handlowy,SUG-40,Usprawnienie,,Katowice,"March 18, 2026 11:46 AM",Brak ustandaryzowanego szablonu ofertowego. Każdy handlowiec tworzy oferty w innym formacie.,Negatywny,Not started,Proces tworzenia ofert → szablon + generator ofert,,"Każdy handlowiec robi oferty po swojemu — inny format, inne dane, inna kolejność. Klient dostaje od nas trzy oferty które wyglądają jakby były z trzech różnych firm. Potrzebujemy szablonu."
Dobrze działająca współpraca z Dobromira,"March 18, 2026 11:46 AM",Operacyjny,SUG-47,Inne,,Supermarket Dobromir,"March 18, 2026 11:46 AM",Pochwała za sprawne zrealizowanie dostawy. Wzór współpracy.,Pozytywny,Not started,n/d,,"Chciałem pochwalić zespół Supermarketu Dobromir za świetną współpracę przy ostatniej dostawie. Szybko, sprawnie, bez problemów. Tak to powinno wyglądać zawsze."
Zamówienia materiałów — za dużo podpisów,"March 18, 2026 11:46 AM",Magazyn,SUG-46,Problem,,Sosnowiec,"March 18, 2026 11:46 AM",Zbyt rozbudowany obieg akceptacji nawet dla drobnych zamówień. 4 podpisy na śruby za 200 zł.,Negatywny,Not started,Obieg zamówień → uproszczenie dla kwot < 500 zł,,Zamówienie na śruby za 200 zł musi przejść przez 4 osoby. Tydzień czekania na podpis kogoś kto jest na urlopie. Przy małych kwotach powinno to iść prościej.
